date,country,cnt,V_18_60,V_18_60_adj,V_60,V_60_adj,V_tot,V_tot_adj
2020-12-10,Denmark,DNK,0,0,0,0,0,0
2020-12-11,Denmark,DNK,0,0,0,0,0,0
2020-12-12,Denmark,DNK,0,0,0,0,0,0
2020-12-13,Denmark,DNK,6.316594673278878e-7,6.603139681845721e-7,6.665058165962615e-7,6.403478345116034e-7,5.152193211367181e-7,5.886519578115117e-7
2020-12-14,Denmark,DNK,1.4938746402304545e-4,1.5616425347565128e-4,2.6031812893916837e-4,2.5010156850781767e-4,1.483095617272124e-4,1.6944767071288517e-4
2020-12-15,Denmark,DNK,2.98143268578763e-4,3.1166819298311796e-4,5.199697520617405e-4,4.995627891811237e-4,2.961039041332881e-4,3.383066894679588e-4
2020-12-16,Denmark,DNK,0.00044689907313448057,4.6717213249058466e-4,7.796213751843125e-4,7.490240098544297e-4,4.4389824653936376e-4,5.071657082230325e-4
2020-12-17,Denmark,DNK,5.956548776901982e-4,6.226760719980514e-4,0.0010392729983068848,9.984852305277357e-4,5.916925889454395e-4,6.760247269781062e-4
2020-12-18,Denmark,DNK,7.444106822459158e-4,7.781800115055182e-4,0.001298924621429457,0.0012479464512010418,7.394869313515153e-4,8.448837457331799e-4
2020-12-19,Denmark,DNK,8.931664868016333e-4,9.336839510129848e-4,0.001558576244552029,0.0014974076718743477,8.872812737575909e-4,0.0010137427644882533
2020-12-20,Denmark,DNK,0.0010419222913573508,0.0010891878905204516,0.0018182278676746012,0.0017468688925476538,0.0010350756161636666,0.001182601783243327
2020-12-21,Denmark,DNK,0.002120932017153525,0.002217145644030026,0.0036053203922024914,0.0034638243933974083,0.0020822956877541276,0.00237907893406364
2020-12-22,Denmark,DNK,0.003199941742949699,0.0033451033975396005,0.005392412916730381,0.005180779894247162,0.0031295157593445883,0.003575556084883953
2020-12-23,Denmark,DNK,0.004278951468745873,0.004473061151049175,0.007179505441258271,0.006897735395096917,0.004176735830935049,0.004772033235704265
2020-12-24,Denmark,DNK,0.005357961194542047,0.00560101890455875,0.008966597965786161,0.008614690895946672,0.00522395590252551,0.005968510386524579
2020-12-25,Denmark,DNK,0.0064369709203382225,0.006728976658068325,0.010753690490314051,0.010331646396796427,0.0062711759741159705,0.007164987537344892
2020-12-26,Denmark,DNK,0.007515980646134396,0.007856934411577898,0.012540783014841942,0.012048601897646182,0.007318396045706431,0.008361464688165204
2020-12-27,Denmark,DNK,0.00859499037193057,0.008984892165087473,0.014327875539369832,0.013765557398495937,0.008365616117296892,0.009557941838985517
