X,country,cnt,date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,StringencyIndex
10553,Finland,FIN,2021-04-02,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10554,Finland,FIN,2021-04-03,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10555,Finland,FIN,2021-04-04,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10556,Finland,FIN,2021-04-05,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10557,Finland,FIN,2021-04-06,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10558,Finland,FIN,2021-04-07,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10559,Finland,FIN,2021-04-08,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10560,Finland,FIN,2021-04-09,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10561,Finland,FIN,2021-04-10,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10562,Finland,FIN,2021-04-11,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10563,Finland,FIN,2021-04-12,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10564,Finland,FIN,2021-04-13,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10565,Finland,FIN,2021-04-14,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10566,Finland,FIN,2021-04-15,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10567,Finland,FIN,2021-04-16,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10568,Finland,FIN,2021-04-17,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10569,Finland,FIN,2021-04-18,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10570,Finland,FIN,2021-04-19,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10571,Finland,FIN,2021-04-20,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10572,Finland,FIN,2021-04-21,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10573,Finland,FIN,2021-04-22,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10574,Finland,FIN,2021-04-23,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10575,Finland,FIN,2021-04-24,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10576,Finland,FIN,2021-04-25,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10577,Finland,FIN,2021-04-26,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10578,Finland,FIN,2021-04-27,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10579,Finland,FIN,2021-04-28,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10580,Finland,FIN,2021-04-29,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10581,Finland,FIN,2021-04-30,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10582,Finland,FIN,2021-05-01,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10583,Finland,FIN,2021-05-02,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10584,Finland,FIN,2021-05-03,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10585,Finland,FIN,2021-05-04,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
